City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Bandarbeyla,SO,9.4942,50.8122,78.06,70,12,15.46,few clouds
295,Tura,IN,25.5198,90.2201,60.51,91,0,3.67,clear sky
296,Moree,AU,-29.4667,149.85,58.87,38,77,11.03,broken clouds
297,Ipswich,GB,52.0592,1.1555,51.06,85,75,21.85,moderate rain
298,Hauterive,FR,46.0901,3.4459,56.16,74,98,15.01,overcast clouds
299,Yaan,NG,7.3833,8.5667,77.25,37,100,3.98,overcast clouds
300,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,40,3.44,scattered clouds
301,Sioux Lookout,CA,50.1001,-91.917,24.87,80,75,2.3,broken clouds
302,Soyo,AO,-6.1349,12.3689,76.87,78,92,7.65,overcast clouds
303,Barlinek,PL,52.9946,15.2186,39.15,65,100,14.58,overcast clouds
304,Azuaga,ES,38.2667,-5.6833,56.97,93,100,9.66,overcast clouds
305,Cabo San Lucas,MX,22.8909,-109.9124,82.51,62,75,3.44,broken clouds
306,Tsiroanomandidy,MG,-18.7667,46.0333,66.88,90,100,1.52,light rain
307,Shahrud,IR,36.4182,54.9763,47.84,45,93,7.72,overcast clouds
308,Port Hedland,AU,-20.3167,118.5667,69.85,83,75,9.22,broken clouds
309,Hambantota,LK,6.1241,81.1185,75.54,100,75,2.3,broken clouds
310,Moindou,NC,-21.6924,165.677,80.01,72,97,6.06,overcast clouds
311,Te Anau,NZ,-45.4167,167.7167,58.01,82,100,1.5,light rain
312,Verkhnevilyuysk,RU,63.4453,120.3167,-1.32,97,100,8.25,light snow
313,Hualmay,PE,-11.0964,-77.6139,66.72,78,90,9.06,overcast clouds
314,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,79,75,11.5,broken clouds
315,Severnoye,RU,56.3491,78.3619,12.63,94,100,7.99,overcast clouds
316,Sorong,ID,-0.8833,131.25,79.47,84,100,2.3,overcast clouds
