City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Tsiroanomandidy,MG,66.88,light rain,-18.7667,46.0333,Hotel Ravinala
307,Shahrud,IR,47.84,overcast clouds,36.4182,54.9763,Royal Hotel
308,Port Hedland,AU,69.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
309,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
310,Moindou,NC,80.01,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
311,Te Anau,NZ,58.01,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
313,Hualmay,PE,66.72,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
314,Tuktoyaktuk,CA,10.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
315,Severnoye,RU,12.63,overcast clouds,56.3491,78.3619,Gostinitsa Severyanka
316,Sorong,ID,79.47,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
317,Bontang,ID,76.35,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
318,Nuristan,AF,8.89,clear sky,35.3,70.8333,لَکچُک هوټل
319,Mazatan,MX,87.87,few clouds,14.8667,-92.45,Jose Luis Villalobos De La Cruz
320,Katobu,ID,75.72,overcast clouds,-4.9408,122.5276,La Ode Husein
321,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
322,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
324,Rio Grande,BR,87.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
325,Palmer,US,43.86,broken clouds,42.1584,-72.3287,Wedgewood Motel
326,Portland,US,54.97,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
327,Adwa,ET,57.24,clear sky,14.1646,38.8955,Maay Assa Hotel
328,Chapais,CA,20.98,light snow,49.7834,-74.8492,Hôtel Opémiska
329,Monroe,US,39.85,overcast clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
330,Peniche,PT,65.1,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
331,Mehamn,NO,37.35,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
332,Tiarei,PF,82.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
334,Petropavlovsk-Kamchatskiy,RU,12.79,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
336,Fairbanks,US,17.6,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
338,Leshukonskoye,RU,23.94,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
339,Faya,SA,55.51,clear sky,18.3851,42.4509,شيلة نسايم
340,San Juan,AR,97.88,clear sky,-31.5375,-68.5364,Hotel Provincial
341,Suozhen,CN,48.16,clear sky,36.9539,118.1047,Jianguo Hotel
342,Birjand,IR,39.67,clear sky,32.8663,59.2211,Birjand Tourist Hotel
343,Foam Lake,CA,21.22,overcast clouds,51.65,-103.5343,Foam Lake Campground
344,Marsh Harbour,BS,79.41,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
345,Nantucket,US,53.71,broken clouds,41.2835,-70.0995,Jared Coffin House
347,Pinotepa Nacional,MX,85.06,scattered clouds,16.3167,-98.0167,Hotel Maria Del Carmen
348,Wasilla,US,38.73,clear sky,61.5814,-149.4394,Alaska's Select Inn Wasilla
349,Kostinbrod,BG,50.99,overcast clouds,42.8167,23.2167,ЦСРИ Костинброд
351,Bishop Auckland,GB,45.32,overcast clouds,54.6555,-1.6771,Premier Inn Bishop Auckland hotel
352,Muroto,JP,59.77,overcast clouds,33.2833,134.15,Oota Ryokan
354,Vilhena,BR,82.11,overcast clouds,-12.7406,-60.1458,Hotel Mirage
355,Magistralnyy,RU,29.3,overcast clouds,56.1725,107.4458,Магистраль
357,Sirnak,TR,42.87,overcast clouds,37.5228,42.4594,Şehr-i Nuh Otel
359,Sladkovo,RU,7.11,overcast clouds,55.5284,70.3385,Gostinitsa
360,Dubbo,AU,51.93,clear sky,-32.25,148.6167,Quality Inn Dubbo International
361,Eureka,US,65.19,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
362,Haimen,CN,67.89,overcast clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
363,Canora,CA,23.02,overcast clouds,51.6333,-102.4343,Canora Hotel
364,Trofors,NO,22.87,few clouds,65.5333,13.4063,Utpå Neset AS
365,Tsabong,BW,78.46,clear sky,-26.0217,22.401,Springbok Motel
366,Denham Springs,US,50.92,scattered clouds,30.4869,-90.9562,"Candlewood Suites Denham Springs, an IHG Hotel"
367,Beyneu,KZ,33.6,overcast clouds,45.3167,55.2,NUR
368,Riyadh,SA,73.54,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
371,Nkhata Bay,MW,76.69,clear sky,-11.6066,34.2907,Mayoka Village
372,Prince Rupert,CA,46.09,broken clouds,54.3161,-130.3201,Crest Hotel
373,Ballina,AU,63.01,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
374,Sagarejo,GE,41.43,overcast clouds,41.734,45.3315,ლოზა
375,Maple Creek,CA,26.65,overcast clouds,49.9168,-109.4848,Willowbend Campground & Cabins
376,Asosa,ET,63.01,clear sky,10.0667,34.5333,Blendana Hotel Assosa
378,Kaeo,NZ,67.32,broken clouds,-35.1,173.7833,Bushido Lodge
379,Krasnoborsk,RU,21.81,overcast clouds,61.5598,45.934,"Baza Otdykha ""Medvezhiy Ugol"""
380,Inhambane,MZ,73.47,clear sky,-23.865,35.3833,Oceano
381,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
382,Saint-Augustin,CA,21.29,broken clouds,51.226,-58.6502,Riverview Inn
383,Grabovo,RU,30.52,overcast clouds,53.3875,45.064,Александровский N 14 Спиртзавод
384,Meulaboh,ID,74.89,light rain,4.1363,96.1285,Kost Pria
385,Jumla,NP,37.47,clear sky,29.2747,82.1838,Royal Garden Hotel
386,Rio Verde De Mato Grosso,BR,77.74,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
389,Mount Isa,AU,73.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
390,Hobyo,SO,80.19,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
392,Guantanamo,CU,87.37,broken clouds,20.1444,-75.2092,Hotel Guantánamo
393,Clyde River,CA,5.23,light snow,70.4692,-68.5914,Qamaq Hotel
394,Pamantingan,PH,71.4,moderate rain,6.7044,124.4589,Ga-as Hot and Cold Resort
395,Sandwick,GB,51.62,light rain,60.0,-1.25,Beach House Self-Catering Accomodation
396,Sao Luis De Montes Belos,BR,82.2,clear sky,-16.525,-50.3722,Hotel Farol
397,Sondrio,IT,51.94,broken clouds,46.169,9.8692,Grand Hotel della Posta
398,Adelaide,AU,58.15,clear sky,-34.9333,138.6,The Chancellor on Currie
399,Kenai,US,34.14,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
400,Erode,IN,70.39,overcast clouds,11.35,77.7333,Hotel Aishwaryaa - the business way
401,Wukari,NG,76.59,overcast clouds,7.85,9.7833,Elimtop
402,Myitkyina,MM,56.46,clear sky,25.3833,97.4,Shwe Phyu Hotel
403,Nikolayevka,RU,26.4,overcast clouds,53.1257,47.2041,"Hotel ""Prestige"""
404,Salmon Arm,CA,35.44,overcast clouds,50.6998,-119.3024,Podollan Inn Salmon Arm
405,Sisimiut,GL,20.41,light snow,66.9395,-53.6735,Hotel Sisimiut
406,Bardiyah,LY,65.8,clear sky,31.7561,25.0865,بورتو بردية
407,Ipixuna,BR,77.9,overcast clouds,-1.7625,-48.8043,Chalé do Mato
408,Plettenberg Bay,ZA,61.16,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
409,Tucumcari,US,45.95,overcast clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
410,Erenhot,CN,29.37,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
411,Berlevag,NO,39.15,clear sky,70.8578,29.0864,Kvitbrakka
412,El Alto,PE,71.26,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
413,Laylay,PH,80.01,broken clouds,13.4391,121.8202,Chateau Du Mer
414,Celestun,MX,81.77,light rain,20.8667,-90.4,Posada Lilia
415,Morant Bay,JM,83.82,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
417,Afsin,TR,44.17,overcast clouds,38.2477,36.914,Altunelma Erkek Ogrenci Yurdu
418,Bilma,NE,67.84,clear sky,18.6853,12.9164,Expeditions Ténére voyages
419,Hermosillo,MX,81.25,clear sky,29.0667,-110.9667,ibis Hermosillo
420,Pala,TD,75.29,broken clouds,9.3642,14.9046,Hotel Pala Palace
421,Alugan,PH,80.31,broken clouds,12.2188,125.4808,JM Lodge
422,Akyab,MM,72.28,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
423,Sorland,NO,44.46,scattered clouds,67.667,12.6934,Sjybrygga fiskecamp
